symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
AI,,,,,,,,,,,,
AIW,,,,,,,,,,,,
AI^B,,,,,,,,,,,,
AHH,,,,,,,,,,,,
ARR,,,,,,,,,,,,
ARR^A,,,,,,,,,,,,
ARR^B,,,,,,,,,,,,
ARR-A,,,,,,,,,,,,
ARR-B,,,,,,,,,,,,
AFI,,,,,,,,,,,,
AWI,,,,,,,,,,,,
ARTX,,,,,,,,,,,,
ARQL,,,,,,,,,,,,
ARRY,,,,,,,,,,,,
ARYC,,,,,,,,,,,,
ARRS,,,,,,,,,,,,
ARW,,,,,,,,,,,,
AROW,,,,,,,,,,,,
ARWR,,,,,,,,,,,,
ARTL,,,,,,,,,,,,
ATMS,,,,,,,,,,,,
ALIF,,,,,,,,,,,,
APAM,,,,,,,,,,,,
IPTK,,,,,,,,,,,,
ASAE,,,,,,,,,,,,
ABG,,,,,,,,,,,,
ASNA,,,,,,,,,,,,
ASCMA,,,,,,,,,,,,
AHT^I,,,,,,,,,,,,
AHT^H,,,,,,,,,,,,
AHT^G,,,,,,,,,,,,
AHT,,,,,,,,,,,,
AHT^F,,,,,,,,,,,,
AHT-G,,,,,,,,,,,,
AHT^D,,,,,,,,,,,,
AHT-F,,,,,,,,,,,,
AINC,,,,,,,,,,,,
ASH,,,,,,,,,,,,
AEEX,,,,,,,,,,,,
ASML,,,,,,,,,,,,
ASPN,,,,,,,,,,,,
ASPU,,,,,,,,,,,,
AHL-D,,,,,,,,,,,,
ASMB,,,,,,,,,,,,
ASB,,,,,,,,,,,,
ASB.WS,,,,,,,,,,,,
ASB-D,,,,,,,,,,,,
ASB^C,,,,,,,,,,,,
ASB^D,,,,,,,,,,,,
AC,,,,,,,,,,,,
AIZ,,,,,,,,,,,,
AIZP,,,,,,,,,,,,
AGO,,,,,,,,,,,,
AGO^B,,,,,,,,,,,,
AGO^F,,,,,,,,,,,,
AGO^E,,,,,,,,,,,,
ASFI,,,,,,,,,,,,
ASTE,,,,,,,,,,,,
AST,,,,,,,,,,,,
ATRO,,,,,,,,,,,,
ATROB,,,,,,,,,,,,
ALOT,,,,,,,,,,,,
ASTC,,,,,,,,,,,,
ASUR,,,,,,,,,,,,
ASV,,,,,,,,,,,,
HOME,,,,,,,,,,,,
T,,,,,,,,,,,,
TBB,,,,,,,,,,,,
ATAI,,,,,,,,,,,,
ATRA,,,,,,,,,,,,
AHNR,,,,,,,,,,,,
ATHN,,,,,,,,,,,,
ATH,,,,,,,,,,,,
ATNX,,,,,,,,,,,,
AFCB,,,,,,,,,,,,
AHROQ,,,,,,,,,,,,
ATIN,,,,,,,,,,,,
ATKR,,,,,,,,,,,,
ATAC,,,,,,,,,,,,
ATACR,,,,,,,,,,,,
ATACU,,,,,,,,,,,,
AAME,,,,,,,,,,,,
ACBI,,,,,,,,,,,,
AT,,,,,,,,,,,,
ALDA,,,,,,,,,,,,
AFHBL,,,,,,,,,,,,
AFH,,,,,,,,,,,,
ATO,,,,,,,,,,,,
ATNI,,,,,,,,,,,,
ATOM,,,,,,,,,,,,
ATOS,,,,,,,,,,,,
ATRC,,,,,,,,,,,,
ATRI,,,,,,,,,,,,
AURT,,,,,,,,,,,,
ATTU,,,,,,,,,,,,
ATVK,,,,,,,,,,,,
LIFE,,,,,,,,,,,,
ABBB,,,,,,,,,,,,
AUBN,,,,,,,,,,,,
BOLD,,,,,,,,,,,,
AUDC,,,,,,,,,,,,
AEYE,,,,,,,,,,,,
ARAO,,,,,,,,,,,,
ASCK,,,,,,,,,,,,
ASCKD,,,,,,,,,,,,
ADSK,,,,,,,,,,,,
ATHM,,,,,,,,,,,,
ALV,,,,,,,,,,,,
ADP,,,,,,,,,,,,
AN,,,,,,,,,,,,
AUTO,,,,,,,,,,,,
AZO,,,,,,,,,,,,
AUTR,,,,,,,,,,,,
AVDL,,,,,,,,,,,,
AWX,,,,,,,,,,,,
AVB,,,,,,,,,,,,
AGR,,,,,,,,,,,,
AVDX,,,,,,,,,,,,
AAIR,,,,,,,,,,,,
ATAR,,,,,,,,,,,,
ATXI,,,,,,,,,,,,
AVEO,,,,,,,,,,,,
AVY,,,,,,,,,,,,
AVXS,,,,,,,,,,,,
AVNW,,,,,,,,,,,,
AVID,,,,,,,,,,,,
AVGR,,,,,,,,,,,,
CAR,,,,,,,,,,,,
AVA,,,,,,,,,,,,
AHPAU,,,,,,,,,,,,
AHPA,,,,,,,,,,,,
AHPAW,,,,,,,,,,,,
AVT,,,,,,,,,,,,
AVP,,,,,,,,,,,,
AVX,,,,,,,,,,,,
AXTA,,,,,,,,,,,,
ACLS,,,,,,,,,,,,
AXMM,,,,,,,,,,,,
AIOM,,,,,,,,,,,,
AXS-D,,,,,,,,,,,,
AXS-E,,,,,,,,,,,,
AXGN,,,,,,,,,,,,
AAXN,,,,,,,,,,,,
AXON,,,,,,,,,,,,
AXON          ,,,,,,,,,,,,
AXSM,,,,,,,,,,,,
AXTI,,,,,,,,,,,,
AYTU,,,,,,,,,,,,
AZRE,,,,,,,,,,,,
AZRX,,,,,,,,,,,,
AZZ,,,,,,,,,,,,
BGS,,,,,,,,,,,,
SCDA,,,,,,,,,,,,
RILYL,,,,,,,,,,,,
RILYG,,,,,,,,,,,,
RILYZ,,,,,,,,,,,,
RILY,,,,,,,,,,,,
BFMC,,,,,,,,,,,,
BABB,,,,,,,,,,,,
BMI,,,,,,,,,,,,
BDVB,,,,,,,,,,,,
BIDU,,,,,,,,,,,,
BKUH,,,,,,,,,,,,
BLNC,,,,,,,,,,,,
BCPC,,,,,,,,,,,,
BWINB,,,,,,,,,,,,
BWINA,,,,,,,,,,,,
BLL,,,,,,,,,,,,
BTN,,,,,,,,,,,,
BLQN,,,,,,,,,,,,
BLTA,,,,,,,,,,,,
BAN-E,,,,,,,,,,,,
BANC^C,,,,,,,,,,,,
BANC^E,,,,,,,,,,,,
BANC^D,,,,,,,,,,,,
BANC,,,,,,,,,,,,
BCTF,,,,,,,,,,,,
BKJ,,,,,,,,,,,,
BXS,,,,,,,,,,,,
PSNXD,,,,,,,,,,,,
BAND,,,,,,,,,,,,
BXNG,,,,,,,,,,,,
BANJ,,,,,,,,,,,,
BOH,,,,,,,,,,,,
BMRC,,,,,,,,,,,,
BK,,,,,,,,,,,,
BKSC,,,,,,,,,,,,
BOTJ,,,,,,,,,,,,
BKU,,,,,,,,,,,,
BWFG,,,,,,,,,,,,
BANR,,,,,,,,,,,,
BZUN,,,,,,,,,,,,
BHB,,,,,,,,,,,,
BHACU,,,,,,,,,,,,
BHAC,,,,,,,,,,,,
BHACW,,,,,,,,,,,,
BHACR,,,,,,,,,,,,
BNED,,,,,,,,,,,,
BKS,,,,,,,,,,,,
B,,,,,,,,,,,,
BRN,,,,,,,,,,,,
BBSI,,,,,,,,,,,,
ABX,,,,,,,,,,,,
BAS,,,,,,,,,,,,
BAX,,,,,,,,,,,,
BBT,,,,,,,,,,,,
BBT-D,,,,,,,,,,,,
BBT-H,,,,,,,,,,,,
BBT-F,,,,,,,,,,,,
BBT-E,,,,,,,,,,,,
BBX,,,,,,,,,,,,
BBXTB,,,,,,,,,,,,
BCBP,,,,,,,,,,,,
JALA,,,,,,,,,,,,
BECN,,,,,,,,,,,,
BBGI,,,,,,,,,,,,
BZH,,,,,,,,,,,,
BEBE,,,,,,,,,,,,
BDXA,,,,,,,,,,,,
BBBY,,,,,,,,,,,,
BGNE,,,,,,,,,,,,
BDC-B,,,,,,,,,,,,
BDC,,,,,,,,,,,,
BDC^B,,,,,,,,,,,,
BLPH,,,,,,,,,,,,
BLCM,,,,,,,,,,,,
BEL,,,,,,,,,,,,
BMXC,,,,,,,,,,,,
BHE,,,,,,,,,,,,
BNCL,,,,,,,,,,,,
BRK.A,,,,,,,,,,,,
BRK.B,,,,,,,,,,,,
BHLB,,,,,,,,,,,,
BERY,,,,,,,,,,,,
BSPK,,,,,,,,,,,,
BBY,,,,,,,,,,,,
BTHT,,,,,,,,,,,,
BEMG,,,,,,,,,,,,
BYSI,,,,,,,,,,,,
BGSF,,,,,,,,,,,,
BGCA,,,,,,,,,,,,
BGCP,,,,,,,,,,,,
BIG,,,,,,,,,,,,
BGFT,,,,,,,,,,,,
BH,,,,,,,,,,,,
BSGC,,,,,,,,,,,,
BGHM,,,,,,,,,,,,
BLTO,,,,,,,,,,,,
BIAD,,,,,,,,,,,,
BPTH,,,,,,,,,,,,
TECH,,,,,,,,,,,,
